Team,Week,Season,HomeFlag,Result,AvgPointsFor,AvgPointsAgainst,AvgOff1stD,AvgOffTotYd,AvgOffPassYd,AvgOffRushYd,AvgOffTO,AvgDef1stD,AvgDefTotYd,AvgDefPassYd,AvgDefRushYd,AvgDefTO,AvgExPointsOff,AvgExPointsDef,AvgExPointsSpecial,LastPointsFor,LastPointsAgainst,LastOff1stD,LastOffTotYd,LastOffPassYd,LastOffRushYd,LastOffTO,LastDef1stD,LastDefTotYd,LastDefPassYd,LastDefRushYd,LastDefTO,LastExPointsOff,LastExPointsDef,LastExPointsSpecial
Baltimore Ravens,65,2010,L,N,22,16,19,326,210,116,1,17,309,214,94,1,2.14,3.44,0.93,30,7,26,390,248,142,2,8,161,53,108,5,10.99,14.72,-2.32
Baltimore Ravens,1,2011,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2011,L,N,35,7,17,385,215,170,0,20,312,246,66,7,9.72,21.78,-3.57,35,7,17,385,215,170,0,20,312,246,66,7,9.72,21.78,-3.57
Baltimore Ravens,4,2011,W,Y,24,16,16,307,199,107,1,20,372,302,70,4,-1.41,6.61,2.16,13,26,15,229,184,45,3,21,432,358,74,1,-12.54,-8.56,7.88
Baltimore Ravens,6,2011,W,Y,27,16,16,293,184,109,2,16,298,238,59,4,-8.1,20.46,-1.03,34,17,16,267,155,112,3,7,150,112,38,4,-21.47,48.17,-7.4
Baltimore Ravens,7,2011,L,N,27,16,18,320,210,110,2,16,296,229,67,3,-4.73,17.22,0.19,29,14,24,402,289,113,2,18,293,200,93,0,5.36,7.48,3.85
Baltimore Ravens,8,2011,W,Y,23,15,16,285,191,94,2,15,278,197,80,2,-7.86,17.58,-0.94,7,12,11,146,112,34,2,13,205,73,132,1,-20.39,19.02,-5.46
Baltimore Ravens,9,2011,W,N,24,17,18,305,208,96,2,16,266,181,85,2,-5.57,15.57,-2.41,30,27,30,405,298,107,2,17,207,98,109,1,5.91,5.55,-9.73
Baltimore Ravens,10,2011,L,N,24,17,19,312,220,92,1,16,284,201,83,2,-2.97,11.99,-2.07,23,20,23,356,289,67,1,20,392,322,70,2,12.6,-9.52,-0.08
Baltimore Ravens,11,2011,W,Y,23,18,20,314,223,90,2,16,289,202,87,2,-2.09,11.19,-4.15,17,22,25,323,248,75,3,16,327,208,119,0,4.12,5.59,-18.7
Baltimore Ravens,12,2011,W,Y,24,18,19,320,228,92,1,17,311,220,91,2,-1.77,10.09,-3.21,31,24,13,373,268,105,1,23,483,364,119,3,0.72,1.26,4.29
Baltimore Ravens,13,2011,W,N,23,17,19,313,221,92,1,16,297,207,89,2,-1.33,10.46,-3.55,16,6,16,253,161,92,0,12,170,96,74,1,2.65,13.85,-6.56
Baltimore Ravens,14,2011,W,Y,23,16,19,326,216,110,1,16,291,204,86,1,-0.49,10.57,-3.55,24,10,24,448,158,290,1,13,233,174,59,1,7.94,11.66,-3.55
Baltimore Ravens,16,2011,W,Y,23,16,19,328,215,113,1,16,280,197,83,1,-0.01,10.64,-3.37,24,10,24,358,212,146,2,12,167,117,50,1,5.24,11.34,-1.36
Baltimore Ravens,17,2011,W,N,23,16,19,325,208,116,1,16,279,192,86,1,0.22,10.16,-3.51,20,14,15,284,122,162,1,18,256,139,117,1,2.98,4.49,-5.22
Baltimore Ravens,65,2011,W,Y,23,16,19,326,202,124,1,16,283,195,87,1,0.87,9.41,-3.38,24,16,15,347,126,221,0,19,336,231,105,1,9.3,-0.34,-1.65
Baltimore Ravens,75,2011,L,N,23,15,18,320,198,121,1,16,285,194,90,1,-0.16,9.49,-2.31,20,13,11,227,140,87,0,16,315,184,131,4,-14.6,10.62,12.62
Baltimore Ravens,1,2012,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2012,L,N,44,13,26,430,308,122,0,20,322,193,129,2,24.39,6.49,-1.49,44,13,26,430,308,122,0,20,322,193,129,2,24.39,6.49,-1.49
Baltimore Ravens,3,2012,W,Y,33,18,21,377,261,116,1,23,404,275,129,3,6.8,2.93,2.8,23,24,17,325,214,111,2,26,486,357,129,4,-10.79,-0.64,7.08
Baltimore Ravens,4,2012,W,Y,32,22,23,419,301,118,1,26,401,289,111,2,11.61,-4.05,1.87,31,30,28,503,382,121,1,33,396,319,77,0,21.23,-17.99,0.02
Baltimore Ravens,5,2012,W,N,30,20,23,424,310,113,1,24,390,295,94,2,9.2,-0.9,-0.76,23,16,23,438,337,101,1,20,357,314,43,2,1.96,8.56,-8.65
Baltimore Ravens,6,2012,W,Y,26,17,21,398,281,117,1,23,379,261,118,2,6.17,1.99,-1.13,9,6,15,298,165,133,2,19,338,124,214,4,-5.96,13.54,-2.61
Baltimore Ravens,7,2012,L,N,26,19,21,385,272,112,1,24,396,260,136,2,7.64,-1.71,0.34,31,29,19,316,230,86,0,30,481,254,227,1,15,-20.22,7.68
Baltimore Ravens,9,2012,W,N,24,23,20,355,251,104,1,25,400,257,142,1,3.72,-4.03,1.27,13,43,12,176,121,55,2,27,420,239,181,0,-19.8,-17.98,6.88
Baltimore Ravens,11,2012,W,N,24,22,19,346,237,108,1,24,386,246,139,1,3.72,-2.4,1.01,25,15,18,282,145,137,0,17,290,174,116,2,3.72,9.08,-0.87
Baltimore Ravens,13,2012,L,Y,23,20,18,329,228,101,0,23,377,238,138,2,2.04,-1.3,1.66,13,10,12,200,153,47,0,17,309,175,134,3,-11.41,7.48,6.92
Baltimore Ravens,15,2012,L,Y,23,20,18,325,223,102,1,22,376,241,134,2,1.6,-1.3,1.54,20,23,19,288,177,111,2,19,366,270,96,3,-2.31,-1.28,0.45
Baltimore Ravens,16,2012,W,Y,22,22,18,321,223,98,1,22,374,236,137,1,-1.08,-1.35,2.23,17,34,12,278,222,56,2,21,350,187,163,0,-27.94,-1.94,9.09
Baltimore Ravens,17,2012,L,N,23,21,18,338,230,108,1,21,358,227,131,1,0.84,-0.96,1.74,33,14,25,533,309,224,0,11,186,119,67,0,22.03,3.4,-3.68
Baltimore Ravens,50,2012,W,Y,23,21,19,339,223,116,1,20,345,220,124,1,0.46,-0.25,0.83,17,23,23,352,146,206,1,9,189,142,47,0,-4.11,8.3,-10.06
Baltimore Ravens,65,2012,W,N,23,20,19,347,227,120,1,21,350,223,126,1,1.21,0.1,0.73,24,9,18,439,269,170,2,25,419,267,152,2,10.86,4.62,-0.48
Baltimore Ravens,75,2012,W,N,24,21,19,355,233,122,1,21,353,227,126,1,1.78,0.08,0.28,38,35,21,479,324,155,1,30,398,273,125,3,9.89,-0.17,-6.13
Baltimore Ravens,100,2012,W,N,24,21,19,355,233,122,1,22,358,232,125,1,2.48,0.02,0.36,28,13,25,356,235,121,0,28,428,320,108,3,12.89,-0.89,1.67
Baltimore Ravens,1,2013,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2013,W,Y,27,49,24,393,335,58,2,24,510,445,65,2,-2.35,-25.06,5.68,27,49,24,393,335,58,2,24,510,445,65,2,-2.35,-25.06,5.68
Baltimore Ravens,3,2013,W,Y,20,27,21,344,266,78,1,18,384,319,65,1,-2.03,-5.28,1.64,14,6,19,296,197,99,1,13,259,194,65,0,-1.7,14.51,-2.4
Baltimore Ravens,4,2013,L,N,23,21,19,308,231,77,1,18,344,269,74,1,-0.2,0.72,2.85,30,9,16,236,161,75,0,18,264,170,94,1,3.46,12.71,5.26
Baltimore Ravens,5,2013,W,N,22,21,18,317,253,64,2,18,345,239,106,1,-3.84,3.82,2.75,20,23,15,345,321,24,5,19,350,147,203,3,-14.76,13.13,2.44
Baltimore Ravens,6,2013,L,Y,23,22,18,330,253,77,2,16,335,245,89,1,-3.48,4.51,1.74,26,23,20,384,251,133,2,10,294,272,22,0,-2.04,7.27,-2.27
Baltimore Ravens,7,2013,L,N,22,21,18,335,263,72,1,16,352,254,98,1,-4.34,3.78,2.02,17,19,15,360,313,47,1,15,438,298,140,2,-8.65,0.12,3.41
Baltimore Ravens,9,2013,L,N,21,21,18,328,254,74,1,16,343,238,104,1,-3.53,2.44,1.09,16,19,19,287,205,82,0,17,286,145,141,1,1.3,-5.59,-4.47
Baltimore Ravens,10,2013,W,Y,21,21,18,322,250,71,1,16,339,239,100,1,-2.93,2.04,0.29,18,24,18,278,223,55,2,19,315,242,73,1,1.29,-0.76,-5.36
Baltimore Ravens,11,2013,L,N,20,21,18,307,234,73,1,17,342,239,102,1,-4.22,3.23,0.88,20,17,18,189,104,85,3,21,364,244,120,3,-14.53,12.76,5.62
Baltimore Ravens,12,2013,W,Y,20,21,18,308,225,83,1,17,339,237,102,1,-4.01,2.54,1.12,20,23,23,317,143,174,2,18,319,215,104,0,-2.08,-3.66,3.3
Baltimore Ravens,13,2013,W,Y,20,19,18,308,227,81,1,16,329,226,102,1,-4.2,4.12,1.02,19,3,15,312,245,67,1,12,220,118,102,3,-6.17,19.91,0.06
Baltimore Ravens,14,2013,W,Y,20,19,18,309,227,81,1,17,329,228,100,1,-3.41,2.85,1.67,22,20,16,311,237,74,0,22,329,257,72,0,5.27,-11.12,8.8
Baltimore Ravens,15,2013,W,N,21,20,18,310,227,82,1,17,332,231,101,1,-3.88,2.73,2.29,29,26,23,325,228,97,3,15,379,265,114,1,-9.53,1.21,9.74
Baltimore Ravens,16,2013,L,Y,21,19,18,309,227,82,1,17,334,231,102,1,-3.73,2.5,2.54,18,16,18,305,215,90,0,19,349,230,119,3,-1.78,-0.47,5.72
Baltimore Ravens,17,2013,L,N,20,21,18,313,227,85,1,17,331,226,105,1,-5.13,1.94,2.17,7,41,19,358,237,121,4,21,300,158,142,0,-24.64,-5.89,-2.98
Baltimore Ravens,1,2014,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2014,W,Y,16,23,26,423,329,94,2,16,380,301,79,0,1.73,-4.03,-1.83,16,23,26,423,329,94,2,16,380,301,79,0,1.73,-4.03,-1.83
Baltimore Ravens,3,2014,W,N,21,14,25,373,247,125,1,16,340,251,89,1,7.01,2.3,-0.94,26,6,25,323,166,157,0,17,301,202,99,3,12.28,8.62,-0.04
Baltimore Ravens,4,2014,W,Y,21,16,24,374,237,137,1,17,352,264,87,1,7.33,-2.98,1.71,23,21,23,377,217,160,1,19,375,290,85,0,7.99,-13.52,6.99
Baltimore Ravens,5,2014,L,N,25,15,24,394,259,134,0,18,342,260,82,1,14.05,-3.75,-0.58,38,10,25,454,327,127,0,20,315,248,67,1,34.18,-6.08,-7.43
Baltimore Ravens,6,2014,W,N,23,16,22,372,247,125,1,19,360,269,91,1,9.14,-2.41,-0.77,13,20,15,287,197,90,3,26,432,305,127,4,-10.47,2.96,-1.53
Baltimore Ravens,7,2014,W,Y,27,16,22,389,257,132,1,20,361,270,90,1,11.08,-1.55,0.15,48,17,23,475,306,169,1,22,364,277,87,1,20.77,2.73,4.73
Baltimore Ravens,8,2014,L,N,27,14,22,387,255,131,1,19,345,258,87,1,10.74,0.5,0,29,7,23,371,248,123,3,16,254,186,68,1,8.68,12.84,-0.92
Baltimore Ravens,9,2014,L,N,27,16,22,375,247,128,1,19,346,256,90,1,8.74,0.15,0.04,24,27,18,294,187,107,2,19,350,239,111,2,-5.21,-2.35,0.35
Baltimore Ravens,10,2014,W,Y,26,19,22,370,249,121,1,19,349,263,86,1,6.81,-1.98,1.03,23,43,22,332,269,63,2,22,376,321,55,1,-8.67,-19.03,8.92
Baltimore Ravens,12,2014,W,N,26,18,21,364,240,124,1,19,335,251,84,1,6.62,-0.26,0.54,21,7,18,312,161,151,0,14,210,143,67,2,4.96,15.27,-3.88
Baltimore Ravens,14,2014,W,N,26,18,21,372,240,132,1,19,352,264,88,1,7.9,-1.5,0.79,34,27,23,449,234,215,1,26,525,399,126,1,20.67,-13.92,3.3
Baltimore Ravens,15,2014,W,Y,26,18,22,378,242,136,1,19,344,258,86,1,8.81,-1.13,0.34,28,13,26,447,264,183,1,16,249,186,63,0,18.79,2.97,-4.56
Baltimore Ravens,16,2014,L,N,26,17,21,373,240,133,1,18,336,251,85,1,8.02,0.03,0,20,12,17,314,221,93,1,13,248,166,82,1,-1.4,13.88,-4.09
Baltimore Ravens,17,2014,W,Y,25,18,21,362,236,126,1,18,335,246,88,1,5.41,0.82,0.33,13,25,15,211,178,33,3,18,313,190,123,1,-28.58,11.11,4.64
Baltimore Ravens,50,2014,W,N,25,17,21,365,239,126,1,18,330,240,89,1,5.52,1.33,0.22,20,10,22,419,290,129,0,16,259,150,109,2,7.14,8.47,-1.37
Baltimore Ravens,65,2014,L,N,25,17,21,361,240,121,1,18,333,245,88,1,5.78,1.42,0.2,30,17,19,299,246,53,1,22,387,319,68,3,9.65,2.72,-0.02
Baltimore Ravens,1,2015,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,3,2015,L,Y,13,19,11,173,100,73,2,16,219,150,69,1,-20.78,14.53,1.43,13,19,11,173,100,73,2,16,219,150,69,1,-20.78,14.53,1.43
Baltimore Ravens,4,2015,W,N,18,23,15,285,231,54,1,19,338,261,77,1,-9.06,2.81,-1.81,24,28,19,398,362,36,1,23,458,372,86,2,2.66,-8.92,-5.04
Baltimore Ravens,5,2015,L,Y,20,22,17,309,209,100,1,18,313,206,107,1,-10.27,5.25,0.8,23,20,21,356,165,191,2,17,263,96,167,0,-12.68,10.13,6.01
Baltimore Ravens,6,2015,L,N,22,25,18,326,205,120,1,20,361,260,101,0,-4.77,-1.78,1.81,30,33,22,377,196,181,0,25,505,422,83,0,11.73,-22.87,4.83
Baltimore Ravens,7,2015,L,N,22,25,19,344,233,111,1,19,367,273,94,0,-2.83,-3.36,1.49,20,25,25,420,343,77,2,15,391,326,65,0,4.93,-9.65,0.22
Baltimore Ravens,10,2015,L,Y,21,25,19,333,231,102,1,19,375,271,103,0,-2.52,-5.03,2.13,18,26,18,276,221,55,2,21,414,264,150,0,-1,-13.41,5.34
Baltimore Ravens,12,2015,W,N,21,24,19,342,242,100,1,19,358,256,101,0,-2,-3.85,0.62,20,22,22,397,308,89,4,22,258,168,90,1,1.13,3.24,-8.43
Baltimore Ravens,13,2015,L,N,22,25,19,341,240,100,1,20,355,259,96,0,-2.23,-4.14,2.26,33,27,16,336,232,104,2,21,338,275,63,0,-3.79,-6.16,13.69
Baltimore Ravens,14,2015,L,Y,21,23,19,345,245,100,1,18,340,239,101,0,-3.16,-2.63,1.69,13,15,22,375,281,94,2,8,219,82,137,1,-10.66,9.43,-2.84
Baltimore Ravens,15,2015,L,Y,20,25,19,341,248,92,1,19,348,245,103,0,-3.9,-4.73,2,6,35,16,302,274,28,2,28,424,301,123,1,-10.51,-23.57,4.75
Baltimore Ravens,16,2015,W,Y,19,25,19,343,250,92,2,19,342,238,104,0,-5.53,-4.64,2.2,14,34,19,366,273,93,3,15,277,164,113,0,-21.83,-3.79,4.27
Baltimore Ravens,17,2015,L,N,19,25,19,346,251,95,1,19,339,234,104,0,-4.68,-4.48,2.09,20,17,22,386,265,121,0,21,308,198,110,3,4.62,-2.69,0.8
Baltimore Ravens,1,2016,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2016,W,N,13,7,18,308,225,83,1,11,160,95,65,0,-5.23,7.45,3.59,13,7,18,308,225,83,1,11,160,95,65,0,-5.23,7.45,3.59
Baltimore Ravens,3,2016,W,N,19,13,20,345,263,81,1,14,273,168,105,1,-1.7,-0.42,5.67,25,20,22,382,302,80,2,17,387,242,145,2,1.83,-8.28,7.74
Baltimore Ravens,6,2016,L,N,19,14,19,324,242,82,2,14,254,168,86,1,-4.68,3.62,4.86,19,17,18,283,199,84,3,14,216,168,48,3,-10.63,11.68,3.25
Baltimore Ravens,7,2016,L,N,20,17,20,341,254,86,1,15,299,225,74,2,-2.7,0.82,4.35,23,27,22,391,293,98,0,19,435,397,38,3,3.23,-7.59,2.8
Baltimore Ravens,9,2016,W,Y,19,19,18,321,250,71,1,15,308,218,90,2,-6.58,1.3,5.78,16,24,11,245,234,11,3,16,344,189,155,2,-22.09,3.23,11.51
Baltimore Ravens,10,2016,W,Y,19,18,17,313,246,67,1,15,303,222,81,1,-7.8,3.27,6.41,21,14,13,274,224,50,1,15,277,241,36,1,-13.91,13.13,9.54
Baltimore Ravens,11,2016,L,N,20,16,19,325,250,75,1,14,280,206,74,2,-5.13,4.87,5.17,28,7,29,396,277,119,2,11,144,111,33,3,10.87,14.46,-2.25
Baltimore Ravens,12,2016,W,Y,20,17,18,330,252,78,1,16,297,217,79,1,-3.22,1.58,4.63,17,27,17,368,267,101,0,27,417,299,118,0,10.17,-21.44,0.83
Baltimore Ravens,13,2016,W,Y,20,17,18,328,248,79,1,16,300,222,78,1,-3.56,1.83,4.94,19,14,16,311,219,92,1,22,325,261,64,2,-6.28,3.81,7.47
Baltimore Ravens,14,2016,L,N,21,16,19,345,262,82,1,16,298,221,76,1,-1.34,3.01,4.33,38,6,28,496,386,110,2,16,277,215,62,3,18.64,13.66,-1.15
Baltimore Ravens,15,2016,W,Y,22,17,19,345,266,79,1,17,316,238,78,2,-1.43,1.21,4.72,23,30,17,348,306,42,1,20,496,401,95,3,-2.31,-16.83,8.57
Baltimore Ravens,16,2016,L,N,22,18,19,345,260,85,1,17,317,231,85,1,-1.07,1.13,4.3,27,26,18,340,189,151,2,27,328,159,169,1,2.83,0.33,-0.31
Baltimore Ravens,17,2016,L,N,22,19,19,346,259,87,1,18,324,235,88,1,-0.59,-0.12,4.29,27,31,22,368,246,122,1,23,406,279,127,2,5.24,-15.16,4.2
Baltimore Ravens,1,2017,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2017,W,Y,20,0,17,268,111,157,1,14,221,144,77,5,-3.67,29.26,-0.8,20,0,17,268,111,157,1,14,221,144,77,5,-3.67,29.26,-0.8
Baltimore Ravens,3,2017,L,N,22,5,20,302,156,146,1,17,303,218,85,5,-0.13,21.26,-1.84,24,10,24,337,201,136,2,20,386,293,93,5,3.42,13.26,-2.88
Baltimore Ravens,4,2017,L,Y,17,18,17,263,121,142,2,19,339,227,112,3,-8.02,8.28,0.62,7,44,12,186,52,134,3,24,410,244,166,0,-23.82,-17.68,5.55
Baltimore Ravens,6,2017,L,Y,15,20,17,269,142,127,2,20,349,222,127,2,-9.21,4.97,0.53,9,26,18,288,206,82,3,22,381,208,173,1,-12.75,-4.95,0.23
Baltimore Ravens,7,2017,L,N,16,21,17,274,147,126,2,19,348,200,148,2,-12.19,5.83,3.39,24,27,16,291,166,125,3,18,342,111,231,2,-24.12,9.26,14.85
Baltimore Ravens,8,2017,W,Y,16,21,17,263,146,116,2,19,349,198,151,2,-10.81,4.39,2.92,16,24,16,208,144,64,0,17,357,188,169,1,-3.93,-2.8,0.59
Baltimore Ravens,9,2017,L,N,20,18,17,267,143,124,1,18,327,191,136,2,-8.72,8.92,2.52,40,0,19,295,121,174,0,13,196,151,45,2,3.85,36.09,0.11
Baltimore Ravens,11,2017,W,N,20,19,18,276,158,118,1,17,318,190,128,2,-7.55,7.71,1.71,20,23,24,341,268,73,2,14,257,186,71,1,0.66,-0.73,-4
Baltimore Ravens,12,2017,W,Y,20,17,17,270,158,111,1,17,312,190,122,2,-7.77,10.54,1.43,23,0,14,219,161,58,1,16,265,190,75,5,-9.58,33.17,-0.79
Baltimore Ravens,13,2017,W,Y,20,17,17,272,158,114,1,17,311,195,116,2,-6.91,9.86,2.05,23,16,17,294,155,139,0,20,303,237,66,3,0.8,3.67,7.6
Baltimore Ravens,14,2017,L,N,22,17,18,281,168,113,1,17,317,204,113,2,-5.09,9.49,2.32,44,20,24,370,269,101,0,18,372,294,78,3,13.12,5.85,5.09
Baltimore Ravens,15,2017,W,N,24,19,18,292,176,116,1,18,336,227,108,2,-2.68,6.58,1.97,38,39,26,413,261,152,1,31,545,486,59,0,23.83,-25.48,-1.92
Baltimore Ravens,16,2017,W,Y,24,18,19,298,184,114,1,18,330,220,110,2,-2.13,7.31,1.69,27,10,23,376,279,97,0,15,266,136,130,4,4.51,16.05,-1.63
Baltimore Ravens,17,2017,L,Y,24,18,19,300,186,113,1,18,328,219,109,2,-1.31,6.44,1.73,23,16,23,323,220,103,0,17,296,203,93,0,9.41,-4.87,2.18
Baltimore Ravens,1,2018,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2018,L,N,47,3,26,369,252,117,1,10,153,70,83,2,7.23,28.71,2.33,47,3,26,369,252,117,1,10,153,70,83,2,7.23,28.71,2.33
Baltimore Ravens,3,2018,W,Y,35,18,27,397,305,91,2,17,263,167,95,1,4.98,7.96,1.73,23,34,28,425,359,66,3,24,373,265,108,0,2.72,-12.8,1.12
Baltimore Ravens,4,2018,W,N,32,17,24,378,292,86,1,17,273,169,103,1,6.3,7.96,-0.79,27,14,20,342,265,77,0,18,293,173,120,1,8.96,7.96,-5.82
Baltimore Ravens,5,2018,L,N,30,16,24,396,307,89,1,16,275,193,82,1,6.66,8.48,-1.11,26,14,24,451,355,96,1,14,284,265,19,2,7.71,10.05,-2.06
Baltimore Ravens,6,2018,W,N,26,15,24,399,305,94,1,17,303,215,88,1,3.1,8.28,-0.48,9,12,25,410,294,116,2,20,416,304,112,1,-11.13,7.48,2.05
Baltimore Ravens,7,2018,L,Y,25,12,24,393,293,99,1,15,270,188,82,1,4.72,9.43,-0.77,21,0,23,361,238,123,1,7,106,51,55,0,12.84,15.17,-2.21
Baltimore Ravens,8,2018,L,N,25,14,24,387,291,96,1,17,280,190,90,1,6.42,6.23,-1.75,23,24,25,351,274,77,0,26,339,205,134,1,16.64,-12.99,-7.63
Baltimore Ravens,9,2018,L,Y,24,17,23,379,282,96,1,17,293,195,98,0,5.78,3.17,-0.54,21,36,20,325,224,101,3,22,386,232,154,0,1.24,-18.22,7.88
Baltimore Ravens,11,2018,W,Y,23,17,23,366,273,92,1,18,305,205,99,0,5.95,0.85,-0.04,16,23,18,265,204,61,0,27,395,282,113,0,7.37,-17.75,4.01
Baltimore Ravens,13,2018,W,N,23,18,23,370,260,110,1,18,300,205,94,0,5.62,0.76,-0.54,24,21,23,403,136,267,1,15,255,207,48,0,2.66,0.01,-5.08
Baltimore Ravens,14,2018,L,N,23,17,23,369,250,118,1,18,284,195,89,0,4.96,1.9,-0.59,26,16,25,366,159,207,1,16,131,97,34,1,-1.63,13.31,-1.11
Baltimore Ravens,15,2018,W,Y,23,18,23,365,240,125,1,19,297,208,89,0,4.96,0.29,0.25,24,27,24,321,127,194,1,30,442,348,94,1,4.92,-17.44,9.52
Baltimore Ravens,17,2018,W,Y,23,18,23,366,231,134,1,18,293,204,89,0,5.11,0.73,0.06,20,12,24,370,128,242,2,12,241,156,85,1,6.86,6,-2.23
Baltimore Ravens,1,2019,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2019,W,Y,59,10,31,643,378,265,0,12,200,179,21,3,42.69,9.29,0.99,59,10,31,643,378,265,0,12,200,179,21,3,42.69,9.29,0.99
Baltimore Ravens,3,2019,L,N,41,13,28,541,318,223,0,13,274,254,20,1,27.15,2.41,2.59,23,17,26,440,258,182,0,15,349,329,20,0,11.6,-4.48,4.18
Baltimore Ravens,4,2019,L,Y,36,20,28,511,295,216,0,18,350,290,60,1,22.93,-7.06,3.32,28,33,29,452,249,203,0,27,503,363,140,0,14.5,-25.98,4.79
Baltimore Ravens,5,2019,W,N,33,25,27,482,276,205,0,19,395,302,93,1,18.4,-11.05,3.33,25,40,24,395,222,173,3,22,530,337,193,1,4.82,-23.04,3.35
Baltimore Ravens,6,2019,W,Y,32,24,26,441,249,192,1,18,370,280,90,1,13.9,-8.48,3.73,26,23,22,277,139,138,3,18,269,192,77,2,-4.12,1.8,5.32
Baltimore Ravens,7,2019,W,N,30,23,26,450,245,205,1,18,350,269,80,1,14.1,-7.16,2.29,23,17,26,497,228,269,1,18,250,217,33,1,15.13,-0.57,-4.92
Baltimore Ravens,9,2019,W,Y,30,22,24,434,230,204,1,18,349,265,84,1,13.15,-5.14,1.97,30,16,14,340,141,199,0,20,347,241,106,2,7.42,6.98,0.09
Baltimore Ravens,10,2019,W,N,31,22,24,427,222,204,1,19,348,265,83,1,13.31,-3.84,1.09,37,20,26,372,162,210,2,22,342,268,74,2,14.46,5.25,-5.09
Baltimore Ravens,11,2019,W,Y,33,21,24,421,224,197,1,19,344,252,91,1,14.59,-1.36,0.14,49,13,20,379,243,136,1,21,307,150,157,3,24.79,18.52,-7.48
Baltimore Ravens,12,2019,W,N,34,19,24,428,225,203,1,19,332,238,94,1,16.29,0.1,-0.49,41,7,25,491,235,256,0,16,232,110,122,2,31.56,13.24,-6.15
Baltimore Ravens,13,2019,W,Y,35,18,24,433,222,210,0,18,322,235,87,1,17.74,0.87,-0.84,45,6,31,480,195,285,0,14,221,199,22,2,32.32,8.52,-4.27
Baltimore Ravens,14,2019,W,N,33,18,24,420,212,207,0,18,323,228,94,1,16.8,0.28,-0.67,20,17,21,283,105,178,1,15,331,157,174,1,6.4,-6.2,1.2
Baltimore Ravens,15,2019,W,Y,33,18,24,408,207,200,0,18,314,219,95,1,15.45,1.09,-0.8,24,17,18,257,139,118,1,16,209,105,104,1,-0.75,10.78,-2.47
Baltimore Ravens,16,2019,W,N,33,18,24,409,207,202,0,17,314,218,96,1,16.2,1.47,-1.4,42,21,23,430,212,218,0,13,310,207,103,2,25.99,6.5,-9.13
Baltimore Ravens,17,2019,W,Y,33,18,24,414,209,204,0,17,309,215,93,1,16.55,1.4,-1.6,31,15,31,481,238,243,1,17,241,184,57,1,21.45,0.38,-4.46
Baltimore Ravens,65,2019,L,Y,33,17,24,407,201,206,0,17,300,207,93,1,15.26,2,-0.96,28,10,19,304,81,223,2,10,168,77,91,2,-4.16,11.07,8.63
Baltimore Ravens,1,2020,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,2,2020,W,N,38,6,23,381,270,111,1,20,306,168,138,3,16.62,8.32,8.64,38,6,23,381,270,111,1,20,306,168,138,3,16.62,8.32,8.64
Baltimore Ravens,3,2020,L,Y,35,11,23,394,223,170,0,19,305,210,94,2,16.28,7,2.72,33,16,23,407,177,230,0,18,304,253,51,2,15.93,5.68,-3.2
Baltimore Ravens,5,2020,W,Y,30,18,20,338,172,166,0,22,375,268,107,2,9.27,-4.21,7.61,20,34,16,228,70,158,1,29,517,385,132,1,-4.74,-26.62,17.39
Baltimore Ravens,6,2020,W,N,29,14,19,337,172,165,0,19,333,235,97,2,7.52,4.02,4.71,27,3,17,332,171,161,1,12,205,135,70,3,2.28,28.69,-3.99
Baltimore Ravens,8,2020,L,Y,29,17,19,340,172,168,0,19,339,222,117,2,5.88,2.85,5.7,30,28,17,355,173,182,0,19,364,170,194,1,-0.7,-1.83,9.68
Baltimore Ravens,9,2020,W,N,28,19,20,360,175,184,1,19,319,214,105,1,5.56,1.6,4.84,24,28,25,457,192,265,4,19,221,173,48,1,3.94,-4.67,0.54
Baltimore Ravens,10,2020,L,N,28,17,20,346,172,173,1,19,322,215,106,1,4.68,3.24,3.94,24,10,19,266,156,110,1,20,339,227,112,2,-0.58,13.1,-1.45
Baltimore Ravens,11,2020,L,Y,26,18,19,347,181,166,1,20,320,205,114,1,4.53,1.09,3.68,17,23,19,357,242,115,1,25,308,135,173,0,3.45,-13.95,1.86
Baltimore Ravens,12,2020,L,N,26,19,20,343,180,162,1,20,331,210,121,1,4.85,-0.58,3.18,24,30,21,306,177,129,1,26,423,250,173,1,7.48,-13.91,-0.86
Baltimore Ravens,13,2020,W,Y,25,19,19,330,171,159,1,21,332,216,115,1,3.16,-0.72,3.93,14,19,10,219,90,129,2,22,334,266,68,2,-12.11,-2.03,10.71
